1 - State Name,8 - Structure Number,22 - Owner Agency,CAT29 - Deck Area (sq. ft.),27 - Year Built,43A - Main Span Material,43B - Main Span Design,2014,2015,2016,2017,2018,2019,2020,2021,2022
'Alabama',015595         ,'City or Municipal Highway Agency',573.61,1960,'Concrete','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000260         ,'County Highway Agency',9472.24,1925,'Steel Continuous','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',001897         ,'County Highway Agency',4859.26,1939,'Steel Continuous','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002891         ,'County Highway Agency',3233.16,1946,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004224         ,'County Highway Agency',479.96,1952,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004738         ,'County Highway Agency',1207.82,1954,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',001883         ,'County Highway Agency',3140.26,1939,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',010760         ,'State Highway Agency',2478.93,1972,'Concrete','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',001632         ,'County Highway Agency',2803.89,1917,'Concrete','Girder and Floorbeam System','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000039         ,'City or Municipal Highway Agency',1876.69,1910,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000352         ,'State Highway Agency',640.45,1926,'Concrete','Culvert','Poor','Poor','Fair','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002522         ,'County Highway Agency',1207.82,1941,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007865         ,'County Highway Agency',3049.85,1963,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',006495         ,'State Highway Agency',5919.07,1959,'Concrete Continuous','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',006496         ,'State Highway Agency',5919.07,1959,'Concrete Continuous','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',008638         ,'County Highway Agency',1233.65,1965,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',016710         ,'State Highway Agency',9346.52,1996,'Prestressed Concrete','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000849         ,'County Highway Agency',981.02,1930,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002742         ,'County Highway Agency',1587.03,1900,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',014385         ,'City or Municipal Highway Agency',986.3,1988,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',005002         ,'County Highway Agency',992,1935,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007372         ,'County Highway Agency',10187.29,1961,'Concrete','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',003844         ,'County Highway Agency',479.96,1950,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007387         ,'County Highway Agency',3981.68,1961,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002600         ,'State Highway Agency',1741.82,1941,'Steel','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',006299         ,'County Highway Agency',8974.52,1958,'Concrete','Slab','Poor','Poor','Fair','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',006300         ,'County Highway Agency',1348.5,1958,'Concrete','Channel Beam','Poor','Poor','Fair','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',006507         ,'County Highway Agency',1358.08,1925,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004290         ,'City or Municipal Highway Agency',1143.13,1952,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',003183         ,'Railroad',2698.62,1948,'Wood or Timber','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002926         ,'Railroad',1739.99,1946,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000957         ,'County Highway Agency',242.94,1932,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002853         ,'State Highway Agency',24400.49,1945,'Concrete Continuous','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002404         ,'County Highway Agency',989.85,1940,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002762         ,'State Highway Agency',1391.56,1943,'Concrete Continuous','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000126         ,'County Highway Agency',800.51,1920,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',014316         ,'County Highway Agency',661.33,1920,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000145         ,'County Highway Agency',358.65,1920,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',006517         ,'County Highway Agency',5342.34,1959,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000534         ,'County Highway Agency',965.2,1928,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',019442         ,'County Highway Agency',605.04,1965,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',016606         ,'County Highway Agency',534.32,1996,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
