Latitude,Longitude
40.0165,-102.4226
,
39.2797,-121.4381
33.1668,-98.6883
34.9926,-81.1884
39.9734,-76.7442
43.4408,-70.6572
38.6202,-121.8556
44.7393,-95.9397
32.7632,-90.36
34.7064,-112.4429
42.6109,-77.1306
34.0297,-89.7169
46.5669,-120.6488
42.6952,-78.2099
39.0949,-94.7579
42.3658,-71.9578
38.2234,-75.4131
36.4904,-99.2829
35.1797,-91.2326
40.7626,-89.2427
44.4689,-90.0212
39.2188,-81.5037
41.3911,-83.6498
37.0011,-82.6307
33.2115,-97.6555
42.3251,-89.1691
31.9284,-92.6004
43.5932,-72.5478
42.9961,-72.7339
41.8325,-71.9791
29.1652,-98.0851
30.6541,-97.6352
35.8732,-86.9151
37.7281,-88.9297
41.4662,-87.8889
31.1872,-91.3242
32.0483,-87.4009
38.3944,-75.5784
33.9973,-98.6882
46.8409,-117.522
41.1483,-85.5122
34.802,-84.9888
41.7565,-89.9385
35.9357,-85.4543
40.7372,-86.9234
38.0724,-88.1691
46.4874,-109.8421
48.8219,-121.7266
29.299,-96.221
39.5757,-80.6598
40.3607,-79.3848
41.1249,-73.7718
30.8264,-91.3806
32.7942,-91.4671
40.7426,-85.2027
37.2756,-92.8844
33.609,-89.2626
32.7147,-93.3158
41.2554,-111.8947
27.7332,-99.288
38.33,-110.9058
41.6172,-75.2609
43.1793,-77.0416
37.1184,-90.5006
42.2433,-83.3345
39.8599,-85.0169
38.4333,-88.4237
43.0181,-88.3044
43.9851,-94.6141
36.2514,-81.7044
43.3686,-88.2293
44.2623,-72.6134
41.4791,-71.6061
45.5492,-123.104
39.4311,-81.5158
43.376,-73.4303
37.9701,-90.868
33.2697,-90.8805
39.5209,-77.7203
45.0452,-67.5514
39.7912,-97.0874
38.6055,-86.097
30.6112,-85.672
43.8356,-107.6602
38.062,-87.2847
41.7989,-79.2812
39.4248,-84.1653
43.5152,-73.9062
40.8438,-74.9606
38.7692,-91.1898
32.349,-90.7914
36.9834,-86.4059
41.3336,-93.5592
40.3028,-87.3887
40.8489,-90.6152
33.4325,-82.7019
31.4598,-103.1287
48.3313,-101.4681
41.0308,-92.4096
42.6678,-88.5413
45.4185,-100.0052
29.9884,-95.9999
33.7599,-87.2766
44.5028,-69.0953
30.1363,-84.3717
35.798,-78.6094
44.2807,-92.2277
40.8493,-85.7919
38.4039,-87.8596
29.0205,-81.1398
36.7411,-76.0335
39.435,-87.3855
28.7954,-96.9415
43.5769,-90.7714
37.8515,-94.3425
40.1783,-87.7363
34.4736,-119.084
41.4008,-79.7389
37.9993,-87.5741
32.6033,-95.8351
48.3347,-106.5325
61.8868,-143.9643
38.8996,-80.2329
32.7068,-94.9274
